Message Byte Length,SHA512 Cost,Curve Cost
0,8917,10813
1,8920,10813
2,8923,10813
3,8926,10813
4,8929,10813
5,8932,10764
6,8935,10764
7,8937,10813
8,8921,10764
9,8924,10764
10,8927,10813
11,8930,10813
12,8933,10813
13,8936,10813
14,8939,10813
15,8941,10813
16,8924,10813
17,8927,10862
18,8930,10764
19,8933,10813
20,8936,10862
21,8939,10764
22,8942,10813
23,8944,10862
24,8927,10862
25,8930,10813
26,8933,10764
27,8936,10813
28,8939,10813
29,8942,10862
30,8945,10764
31,8947,10862
32,8930,10813
33,8933,10813
34,8936,10813
35,8939,10764
36,8942,10813
37,8945,10764
38,8948,10813
39,8950,10813
40,8933,10813
41,8936,10813
42,8939,10813
43,8942,10813
44,8945,10764
45,8948,10813
46,8951,10813
47,8953,10813
48,16989,10862
49,16992,10813
50,16995,10813
51,16998,10813
52,17001,10813
53,17004,10862
54,17007,10764
55,17009,10813
56,16986,10764
57,16989,10813
58,16992,10813
59,16995,10813
60,16998,10813
61,17001,10862
62,17004,10862
63,16986,10764
64,16891,10862
65,16899,10813
66,16907,10764
67,16915,10813
68,16923,10813
69,16931,10813
70,16939,10813
71,17034,10813
72,16901,10813
73,16909,10813
74,16917,10764
75,16925,10813
76,16933,10813
77,16941,10813
78,17036,10813
79,17038,10862
80,16910,10813
81,16918,10862
82,16926,10813
83,16934,10813
84,16942,10813
85,17036,10813
86,17039,10813
87,17041,10813
88,16919,10862
89,16927,10813
90,16935,10813
91,16943,10764
92,17036,10813
93,17039,10813
94,17042,10813
95,17044,10862
96,16928,10813
97,16936,10813
98,16944,10813
99,17036,10813
100,17039,10764
101,17042,10813
102,17045,10813
103,17047,10813
104,16937,10862
105,16945,10813
106,17036,10813
107,17039,10813
108,17042,10813
109,17045,10813
110,17048,10813
111,17050,10813
112,16946,10813
113,17036,10764
114,17039,10813
115,17042,10813
116,17045,10813
117,17048,10813
118,17051,10764
119,17053,10813
120,17036,10862
121,17039,10862
122,17042,10813
123,17045,10813
124,17048,10862
125,17051,10813
126,17054,10862
127,17056,10813
128,17039,10862
129,17042,10813
130,17045,10813
131,17048,10813
132,17051,10813
133,17054,10813
134,17057,10764
135,17059,10764
136,17042,10813
137,17045,10813
138,17048,10764
139,17051,10813
140,17054,10764
141,17057,10813
142,17060,10813
143,16933,10764
144,17045,10764
145,17048,10813
146,17051,10813
147,17054,10813
148,17057,10813
149,17060,10813
150,16933,10813
151,16927,10813
152,17048,10813
153,17051,10862
154,17054,10813
155,17057,10862
156,17060,10813
157,16932,10764
158,16927,10813
159,16921,10764
160,17051,10813
161,17054,10813
162,17057,10813
163,17060,10862
164,16931,10764
165,16926,10862
166,16921,10813
167,16915,10813
168,17054,10862
169,17057,10813
170,17060,10813
171,16930,10813
172,16925,10862
173,16920,10764
174,16915,10813
175,16909,10813
176,25110,10813
177,25113,10813
178,24982,10813
179,24977,10813
180,24972,10862
181,24967,10813
182,24962,10764
183,24956,10813
184,25107,10813
185,24975,10813
186,24970,10813
187,24965,10813
188,24960,10862
189,24955,10813
190,24950,10813
191,24924,10813
192,24856,10813
193,24864,10813
194,24872,10862
195,24880,10813
196,24888,10813
197,24896,10764
198,24904,10764
199,24999,10862
200,24866,10813
201,24874,10764
202,24882,10813
203,24890,10862
204,24898,10764
205,24906,10813
206,25001,10813
207,25003,10764
208,24875,10813
209,24883,10813
210,24891,10813
211,24899,10813
212,24907,10813
213,25001,10813
214,25004,10813
215,25006,10813
216,24884,10764
217,24892,10862
218,24900,10813
219,24908,10813
220,25001,10813
221,25004,10813
222,25007,10813
223,25009,10862
224,24893,10764
225,24901,10862
226,24909,10813
227,25001,10813
228,25004,10813
229,25007,10764
230,25010,10862
231,25012,10862
232,24902,10813
233,24910,10764
234,25001,10862
235,25004,10862
236,25007,10764
237,25010,10813
238,25013,10813
239,25015,10813
240,24911,10813
241,25001,10813
242,25004,10813
243,25007,10813
244,25010,10862
245,25013,10764
246,25016,10764
247,25018,10764
248,25001,10764
249,25004,10813
250,25007,10813
251,25010,10813
252,25013,10813
253,25016,10862
254,25019,10813
255,25021,10764
256,25004,10862
257,25007,10813
258,25010,10862
259,25013,10813
260,25016,10862
261,25019,10813
262,25022,10813
263,25024,10764
264,25007,10764
265,25010,10813
266,25013,10813
267,25016,10813
268,25019,10764
269,25022,10813
270,25025,10813
271,24898,10813
272,25010,10813
273,25013,10813
274,25016,10813
275,25019,10764
276,25022,10813
277,25025,10813
278,24898,10813
279,24892,10813
280,25013,10813
281,25016,10813
282,25019,10764
283,25022,10862
284,25025,10813
285,24897,10862
286,24892,10813
287,24886,10862
288,25016,10813
289,25019,10764
290,25022,10813
291,25025,10862
292,24896,10813
293,24891,10862
294,24886,10813
295,24880,10862
296,25019,10764
297,25022,10764
298,25025,10813
299,24895,10813
300,24890,10813
301,24885,10862
302,24880,10813
303,24874,10764
304,33075,10764
305,33078,10813
306,32947,10764
307,32942,10764
308,32937,10813
309,32932,10764
310,32927,10813
311,32921,10813
312,33072,10813
313,32940,10813
314,32935,10764
315,32930,10813
316,32925,10764
317,32920,10813
318,32915,10813
319,32889,10813
320,32756,10813
321,32764,10862
322,32772,10813
323,32780,10813
324,32788,10813
325,32796,10862
326,32804,10813
327,32899,10862
328,32766,10813
329,32774,10862
330,32782,10813
331,32790,10813
332,32798,10862
333,32806,10862
334,32901,10813
335,32903,10813
336,32775,10813
337,32783,10813
338,32791,10862
339,32799,10813
340,32807,10813
341,32901,10862
342,32904,10813
343,32906,10764
344,32784,10764
345,32792,10862
346,32800,10813
347,32808,10813
348,32901,10813
349,32904,10813
350,32907,10813
351,32909,10813
352,32793,10813
353,32801,10813
354,32809,10813
355,32901,10813
356,32904,10764
357,32907,10862
358,32910,10813
359,32912,10813
360,32802,10813
361,32810,10813
362,32901,10862
363,32904,10813
364,32907,10813
365,32910,10813
366,32913,10813
367,32915,10813
368,32811,10764
369,32901,10764
370,32904,10862
371,32907,10813
372,32910,10813
373,32913,10862
374,32916,10813
375,32918,10862
376,32901,10764
377,32904,10764
378,32907,10862
379,32910,10813
380,32913,10813
381,32916,10813
382,32919,10813
383,32921,10813
384,32904,10813
385,32907,10813
386,32910,10764
387,32913,10862
388,32916,10862
389,32919,10862
390,32922,10862
391,32924,10862
392,32907,10813
393,32910,10813
394,32913,10764
395,32916,10813
396,32919,10813
397,32922,10862
398,32925,10764
399,32798,10813
400,32910,10813
401,32913,10813
402,32916,10862
403,32919,10813
404,32922,10813
405,32925,10764
406,32798,10813
407,32792,10813
408,32913,10862
409,32916,10813
410,32919,10813
411,32922,10862
412,32925,10764
413,32797,10813
414,32792,10813
415,32786,10764
416,32916,10813
417,32919,10764
418,32922,10764
419,32925,10813
420,32796,10813
421,32791,10813
422,32786,10813
423,32780,10813
424,32919,10764
425,32922,10813
426,32925,10813
427,32795,10813
428,32790,10862
429,32785,10813
430,32780,10813
431,32774,10813
432,40975,10813
433,40978,10862
434,40847,10813
435,40842,10813
436,40837,10813
437,40832,10813
438,40827,10813
439,40821,10813
440,40972,10813
441,40840,10813
442,40835,10764
443,40830,10813
444,40825,10813
445,40820,10813
446,40815,10813
447,40789,10862
448,40656,10813
449,40664,10813
450,40672,10862
451,40680,10813
452,40688,10764
453,40696,10813
454,40704,10862
455,40799,10764
456,40666,10813
457,40674,10862
458,40682,10813
459,40690,10813
460,40698,10813
461,40706,10813
462,40801,10813
463,40803,10813
464,40675,10813
465,40683,10813
466,40691,10813
467,40699,10813
468,40707,10813
469,40801,10813
470,40804,10862
471,40806,10813
472,40684,10764
473,40692,10813
474,40700,10813
475,40708,10813
476,40801,10862
477,40804,10764
478,40807,10813
479,40809,10813
480,40693,10813
481,40701,10862
482,40709,10862
483,40801,10813
484,40804,10862
485,40807,10813
486,40810,10764
487,40812,10764
488,40702,10813
489,40710,10862
490,40801,10764
491,40804,10813
492,40807,10813
493,40810,10813
494,40813,10813
495,40815,10813
496,40711,10764
497,40801,10764
498,40804,10764
499,40807,10813
500,40810,10862
501,40813,10813
502,40816,10862
503,40818,10813
504,40801,10813
505,40804,10813
506,40807,10813
507,40810,10813
508,40813,10764
509,40816,10813
510,40819,10813
511,40821,10813
512,40804,10813
513,40807,10813
514,40810,10862
515,40813,10862
516,40816,10813
517,40819,10813
518,40822,10813
519,40824,10813
520,40807,10813
521,40810,10813
522,40813,10813
523,40816,10813
524,40819,10813
525,40822,10862
526,40825,10862
527,40698,10764
528,40810,10862
529,40813,10813
530,40816,10813
531,40819,10764
532,40822,10813
533,40825,10813
534,40698,10862
535,40692,10764
536,40813,10813
537,40816,10764
538,40819,10813
539,40822,10813
540,40825,10813
541,40697,10813
542,40692,10813
543,40686,10813
544,40816,10813
545,40819,10813
546,40822,10813
547,40825,10813
548,40696,10862
549,40691,10764
550,40686,10813
551,40680,10813
552,40819,10813
553,40822,10813
554,40825,10764
555,40695,10813
556,40690,10813
557,40685,10813
558,40680,10813
559,40674,10813
560,48875,10813
561,48878,10813
562,48747,10813
563,48742,10813
564,48737,10813
565,48732,10862
566,48727,10813
567,48721,10813
568,48872,10813
569,48740,10862
570,48735,10862
571,48730,10862
572,48725,10764
573,48720,10813
574,48715,10764
575,48689,10764
576,48556,10813
577,48564,10813
578,48572,10862
579,48580,10764
580,48588,10862
581,48596,10764
582,48604,10813
583,48699,10813
584,48566,10764
585,48574,10862
586,48582,10764
587,48590,10813
588,48598,10862
589,48606,10813
590,48701,10813
591,48703,10813
592,48575,10813
593,48583,10813
594,48591,10813
595,48599,10813
596,48607,10813
597,48701,10813
598,48704,10813
599,48706,10813
600,48584,10813
601,48592,10862
602,48600,10813
603,48608,10813
604,48701,10813
605,48704,10764
606,48707,10813
607,48709,10813
608,48593,10813
609,48601,10813
610,48609,10813
611,48701,10862
612,48704,10764
613,48707,10813
614,48710,10813
615,48712,10813
616,48602,10862
617,48610,10764
618,48701,10813
619,48704,10813
620,48707,10813
621,48710,10764
622,48713,10813
623,48715,10813
624,48611,10862
625,48701,10764
626,48704,10813
627,48707,10813
628,48710,10813
629,48713,10862
630,48716,10813
631,48718,10862
632,48701,10813
633,48704,10813
634,48707,10813
635,48710,10862
636,48713,10813
637,48716,10813
638,48719,10813
639,48721,10862
640,48704,10813
641,48707,10813
642,48710,10862
643,48713,10813
644,48716,10813
645,48719,10813
646,48722,10813
647,48724,10813
648,48707,10813
649,48710,10813
650,48713,10813
651,48716,10813
652,48719,10764
653,48722,10813
654,48725,10813
655,48598,10813
656,48710,10813
657,48713,10764
658,48716,10764
659,48719,10813
660,48722,10813
661,48725,10813
662,48598,10813
663,48592,10813
664,48713,10813
665,48716,10813
666,48719,10813
667,48722,10764
668,48725,10813
669,48597,10813
670,48592,10764
671,48586,10813
672,48716,10862
673,48719,10813
674,48722,10813
675,48725,10813
676,48596,10813
677,48591,10813
678,48586,10813
679,48580,10813
680,48719,10813
681,48722,10813
682,48725,10862
683,48595,10813
684,48590,10813
685,48585,10813
686,48580,10813
687,48574,10813
688,56775,10764
689,56778,10813
690,56647,10862
691,56642,10764
692,56637,10813
693,56632,10813
694,56627,10813
695,56621,10764
696,56772,10813
697,56640,10813
698,56635,10813
699,56630,10862
700,56625,10813
701,56620,10813
702,56615,10813
703,56589,10764
704,56456,10813
705,56464,10813
706,56472,10813
707,56480,10813
708,56488,10813
709,56496,10813
710,56504,10813
711,56599,10764
712,56466,10813
713,56474,10813
714,56482,10813
715,56490,10813
716,56498,10813
717,56506,10813
718,56601,10813
719,56603,10813
720,56475,10813
721,56483,10813
722,56491,10813
723,56499,10813
724,56507,10764
725,56601,10813
726,56604,10764
727,56606,10813
728,56484,10813
729,56492,10813
730,56500,10813
731,56508,10813
732,56601,10813
733,56604,10813
734,56607,10862
735,56609,10764
736,56493,10862
737,56501,10813
738,56509,10813
739,56601,10862
740,56604,10764
741,56607,10764
742,56610,10813
743,56612,10764
744,56502,10813
745,56510,10813
746,56601,10813
747,56604,10764
748,56607,10764
749,56610,10813
750,56613,10813
751,56615,10862
752,56511,10813
753,56601,10813
754,56604,10813
755,56607,10764
756,56610,10813
757,56613,10813
758,56616,10764
759,56618,10813
760,56601,10764
761,56604,10862
762,56607,10862
763,56610,10813
764,56613,10813
765,56616,10813
766,56619,10813
767,56621,10813
768,56604,10862
769,56607,10813
770,56610,10862
771,56613,10862
772,56616,10764
773,56619,10862
774,56622,10813
775,56624,10764
776,56607,10862
777,56610,10813
778,56613,10813
779,56616,10764
780,56619,10862
781,56622,10764
782,56625,10862
783,56498,10813
784,56610,10764
785,56613,10813
786,56616,10862
